Filename,locations,Answer_Probabilities,Most_Frequent_Answer
AK288360_DF060JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/f3e23349-22b7-4715-a5de-fd43f59f0b4f.jpeg,"{'not sure': 0.217, 'sterile': 0.783}",sterile
AK288360_DF060JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/3d90398b-f344-4684-8790-dd9414954662.jpeg,"{'sterile': 0.727, 'male': 0.091, 'not sure': 0.182}",sterile
AK288360_DF060JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/bd64a710-7d58-4cd3-a401-11caf9e0b72b.jpeg,"{'sterile': 0.773, 'not sure': 0.227}",sterile
AK288360_DF060JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/42bf5ef5-00ae-486e-b90f-7712af0fafd7.jpeg,"{'not sure': 0.25, 'sterile': 0.5, 'male': 0.25}",sterile
AK288360_DF060JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/80b8b3f0-c2ca-4302-a246-4962b7270200.jpeg,"{'sterile': 0.917, 'female': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/7cd3cc30-7dc4-412e-9e28-0a7a61cbd6b1.jpeg,"{'sterile': 0.75, 'not sure': 0.25}",sterile
AK288360_DF060JPEG_cropped_resized(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/092522c2-56da-4174-9649-1b07cc2f2e40.jpeg,"{'not sure': 0.417, 'sterile': 0.583}",sterile
AK288360_DF060JPEG_cropped_resized(e).jpg,https://panoptes-uploads.zooniverse.org/subject_location/f38f223e-3825-4250-8d44-cf5dbd9439da.jpeg,"{'sterile': 0.833, 'male': 0.083, 'not sure': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(f).jpg,https://panoptes-uploads.zooniverse.org/subject_location/d78ff50b-65a1-4fff-b3ed-9d8ab1f1cb6f.jpeg,"{'sterile': 0.833, 'not sure': 0.167}",sterile
AK288360_DF060JPEG_cropped_resized(g).jpg,https://panoptes-uploads.zooniverse.org/subject_location/f05fef50-4374-4390-b499-80298d4bebf8.jpeg,"{'sterile': 0.667, 'male': 0.25, 'not sure': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(h).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b69cfaa5-5067-42cd-aa8c-6db969cf8a78.jpeg,"{'sterile': 0.583, 'female': 0.083, 'not sure': 0.333}",sterile
AK288360_DF060JPEG_cropped_resized(i).jpg,https://panoptes-uploads.zooniverse.org/subject_location/163b94a5-709f-4d80-ab80-d744aa6ccfeb.jpeg,"{'sterile': 0.833, 'male': 0.083, 'not sure': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(j).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e2e65a45-7a1d-486a-b148-ba9d7528bb84.jpeg,"{'sterile': 0.75, 'not sure': 0.167, 'male': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(k).jpg,https://panoptes-uploads.zooniverse.org/subject_location/fe0eb54e-ac4d-45d6-a61e-37a3a1f65ad6.jpeg,"{'male': 0.25, 'sterile': 0.667, 'not sure': 0.083}",sterile
AK288360_DF060JPEG_cropped_resized(l).jpg,https://panoptes-uploads.zooniverse.org/subject_location/020a2fea-fed7-4a6c-9bb6-96425de14b37.jpeg,"{'male': 0.167, 'sterile': 0.667, 'not sure': 0.167}",sterile
AK288360_DF060JPEG_cropped_resized(m).jpg,https://panoptes-uploads.zooniverse.org/subject_location/0a4c3d04-8130-4684-bcb6-51dfc976e8a9.jpeg,"{'sterile': 0.75, 'male': 0.083, 'not sure': 0.167}",sterile
AK288360_DF060JPEG_cropped_resized(n).jpg,https://panoptes-uploads.zooniverse.org/subject_location/3013efca-5546-488e-b1a7-80fb08819534.jpeg,"{'not sure': 0.25, 'sterile': 0.75}",sterile
AK294898_DF063JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/aadd8474-8f7a-45a8-8bcc-8aef8730c5f5.jpeg,"{'sterile': 0.636, 'male': 0.045, 'not sure': 0.136, 'female': 0.136, 'both': 0.045}",sterile
AK294898_DF063JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6384f51d-e443-47fa-a376-aea4903aed7c.jpeg,"{'not sure': 0.045, 'female': 0.636, 'male': 0.045, 'both': 0.136, 'sterile': 0.136}",female
AK294898_DF063JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/2d75a10d-3189-4d76-9757-8763e485efd6.jpeg,"{'female': 0.333, 'male': 0.167, 'sterile': 0.5}",sterile
AK294898_DF063JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b32b8000-99d0-4a38-98c3-dd1299463605.jpeg,"{'female': 0.833, 'sterile': 0.083, 'male': 0.083}",female
AK294898JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b471fb55-6c8e-4a26-968b-6edb22c3358c.jpeg,"{'female': 0.333, 'sterile': 0.25, 'male': 0.333, 'not sure': 0.083}",female
BS_15505JPEG.jpg,https://panoptes-uploads.zooniverse.org/subject_location/b7e15277-896d-46c8-9dce-0f13a85d131e.jpeg,"{'female': 0.912, 'both': 0.088}",female
BS_15539JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/c7e6f12e-f56f-4c89-a96a-c6462a84fbc0.jpeg,"{'both': 0.783, 'female': 0.217}",both
BS_15539JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/2b72e461-0cfa-4912-ad8d-afc9ad8e84f5.jpeg,{'sterile': 1.0},sterile
BS_15539JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/27b29cf5-04d3-46a1-857b-140375f0fe06.jpeg,{'sterile': 1.0},sterile
BS_15539JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6aef6449-3d5b-4330-b65d-82df643fedb8.jpeg,"{'female': 0.25, 'both': 0.708, 'male': 0.042}",both
BS_15628JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b2153f45-7a14-4858-b081-0cedb5700d8e.jpeg,"{'sterile': 0.636, 'female': 0.091, 'male': 0.182, 'not sure': 0.091}",sterile
BS_15628JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6310ab8c-139a-4d45-89e6-9b27a9962500.jpeg,"{'male': 0.182, 'not sure': 0.182, 'sterile': 0.5, 'both': 0.091, 'female': 0.045}",sterile
BS_15628JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b12920c9-b5a0-4949-a454-026ccddaba19.jpeg,"{'male': 0.727, 'sterile': 0.182, 'not sure': 0.091}",male
BS_15628JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/a7bedc89-38e0-42c7-ba14-82735c970ea5.jpeg,"{'sterile': 0.455, 'not sure': 0.227, 'female': 0.136, 'male': 0.136, 'both': 0.045}",sterile
BS_15628JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/07c25d0c-a45c-4d59-99f7-7376c7d406ba.jpeg,"{'male': 0.167, 'sterile': 0.75, 'not sure': 0.083}",sterile
BS_15628JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6cd94e46-b5b8-46a2-92b8-e4403c6a294f.jpeg,"{'sterile': 0.333, 'male': 0.5, 'not sure': 0.083, 'female': 0.083}",male
BS_15628JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/7abdaaf2-45ee-4e4a-ad69-09515a6c1cc8.jpeg,"{'sterile': 0.417, 'not sure': 0.25, 'female': 0.25, 'both': 0.083}",sterile
BS_15628JPEG_cropped_resized(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/1b552065-d027-4be4-8da3-c6e160c23bf2.jpeg,"{'male': 0.583, 'not sure': 0.333, 'sterile': 0.083}",male
BS13118_D328JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/fd89e3d0-aa70-4366-9619-a6ad0b40e1c2.jpeg,"{'sterile': 0.75, 'male': 0.167, 'not sure': 0.083}",sterile
BS13701_D329JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/48186696-453d-4553-9988-29289d768d7c.jpeg,"{'female': 0.455, 'both': 0.182, 'sterile': 0.091, 'not sure': 0.227, 'male': 0.045}",female
BS13701_D329JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/8cd3e81b-02c3-468c-9fd5-6610a4dfddd9.jpeg,"{'both': 0.167, 'not sure': 0.625, 'sterile': 0.167, 'male': 0.042}",not sure
BS13701_D329JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/c06772f8-243c-461b-8d45-85bfd39c60b6.jpeg,"{'both': 0.864, 'male': 0.045, 'not sure': 0.045, 'female': 0.045}",both
BS13701_D329JPEG(e).jpg,https://panoptes-uploads.zooniverse.org/subject_location/75ac9ad8-285a-43be-a2e9-f12c1b724363.jpeg,"{'not sure': 0.409, 'male': 0.5, 'sterile': 0.045, 'both': 0.045}",male
BS13701_D329JPEG(f).jpg,https://panoptes-uploads.zooniverse.org/subject_location/991f0a62-430e-4e92-b533-90ea90013be2.jpeg,"{'both': 0.318, 'not sure': 0.273, 'female': 0.136, 'sterile': 0.182, 'male': 0.091}",both
BS13701_D329JPEG_cropped_resized copy.jpg,https://panoptes-uploads.zooniverse.org/subject_location/956830dd-43c0-4c62-a620-078db4725ff1.jpeg,"{'male': 0.583, 'not sure': 0.167, 'sterile': 0.167, 'both': 0.083}",male
BS13701_D329JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/95f288a7-46ff-4856-ba55-7a0ae48d64bc.jpeg,"{'male': 0.417, 'not sure': 0.333, 'sterile': 0.083, 'both': 0.167}",male
BS13701_D329JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/c55b2311-ba77-4f6d-b2b8-f96bbbcfa02e.jpeg,"{'male': 0.833, 'not sure': 0.042, 'both': 0.125}",male
BS13786_D330JPEG_cropped_resized copy 2.jpg,https://panoptes-uploads.zooniverse.org/subject_location/31d6594e-516a-4329-a461-27f20030cc6c.jpeg,"{'both': 0.25, 'sterile': 0.5, 'female': 0.083, 'male': 0.167}",sterile
BS13786_D330JPEG_cropped_resized copy 3.jpg,https://panoptes-uploads.zooniverse.org/subject_location/153dcbd0-e1c0-4e28-a104-a3139112a649.jpeg,"{'female': 0.917, 'male': 0.083}",female
BS13786_D330JPEG_cropped_resized copy.jpg,https://panoptes-uploads.zooniverse.org/subject_location/437f31f2-afa0-48b3-9a7d-f31f22bb7b07.jpeg,"{'sterile': 0.75, 'male': 0.083, 'not sure': 0.167}",sterile
BS13786_D330JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/9b7f7a1f-4f69-43f7-87df-cd57eb774506.jpeg,"{'sterile': 0.042, 'male': 0.042, 'both': 0.167, 'female': 0.625, 'not sure': 0.125}",female
BS13875JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/dfc35487-3a9b-4d1c-bade-bab0c499bf88.jpeg,"{'sterile': 0.545, 'male': 0.182, 'not sure': 0.227, 'female': 0.045}",sterile
BS13875JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/3e4d7e4d-2107-4cb9-bc49-8c129ee276af.jpeg,"{'sterile': 0.864, 'not sure': 0.091, 'male': 0.045}",sterile
BS13875JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/d544b8e2-39fa-4a4e-910b-c069aa37b07b.jpeg,"{'male': 0.417, 'sterile': 0.417, 'not sure': 0.167}",male
BS13875JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6940ad2a-18de-400b-bc80-0f0f93e6040a.jpeg,"{'sterile': 0.833, 'male': 0.167}",sterile
BS13987JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/f0fb4989-6a03-4feb-8f0a-c17f25d58c87.jpeg,"{'sterile': 0.955, 'not sure': 0.045}",sterile
BS13987JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/ee7818cd-a8e3-4b6a-ab0a-616d78e4d379.jpeg,"{'sterile': 0.864, 'male': 0.045, 'not sure': 0.091}",sterile
BS13987JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4d410d34-2b73-4373-9337-91c1ac096ac3.jpeg,"{'not sure': 0.083, 'sterile': 0.917}",sterile
BS13987JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/80079ec6-63e9-43a5-b6c4-3cfaf4eba414.jpeg,"{'sterile': 0.806, 'not sure': 0.111, 'both': 0.056, 'female': 0.028}",sterile
BS14323_D341JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/45f7e5ff-5003-432f-a552-b3cd9696f8b3.jpeg,"{'sterile': 0.955, 'female': 0.045}",sterile
BS14323_D341JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/8a7f9b7a-5feb-43e7-962d-824466d1ec1a.jpeg,"{'sterile': 0.682, 'male': 0.182, 'female': 0.045, 'not sure': 0.091}",sterile
BS14323_D341JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/64e9dd13-a8ec-46c3-b54a-7431516931bc.jpeg,"{'sterile': 0.682, 'not sure': 0.091, 'male': 0.227}",sterile
BS14323_D341JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6c629893-29c8-4162-bb26-97e95a532feb.jpeg,{'sterile': 1.0},sterile
BS14323_D341JPEG_cropped_resized copy 2.jpg,https://panoptes-uploads.zooniverse.org/subject_location/4b67dc90-354c-4c26-bb6a-19636d6dda05.jpeg,"{'sterile': 0.917, 'male': 0.083}",sterile
BS14323_D341JPEG_cropped_resized copy.jpg,https://panoptes-uploads.zooniverse.org/subject_location/860a82b7-95f8-4cd1-b1c8-c6c0bc3d7076.jpeg,"{'sterile': 0.75, 'male': 0.25}",sterile
BS14323_D341JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/dbc12afe-a945-438b-a022-5fb56fd685c9.jpeg,"{'male': 0.333, 'sterile': 0.667}",sterile
BS14323_D341JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/cb5cc840-7909-4912-81a6-1cb90982597c.jpeg,{'sterile': 1.0},sterile
BS15578_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/0f68a063-bfe6-4720-b3f0-a8c68774bb9a.jpeg,"{'not sure': 0.267, 'sterile': 0.467, 'male': 0.2, 'female': 0.067}",sterile
BS15578_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/c475d3e7-10ad-43b3-a7b4-f20dafbf586b.jpeg,"{'sterile': 0.933, 'not sure': 0.067}",sterile
BS15578_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/7e54f534-fbd3-4e90-bc80-666963fd654a.jpeg,"{'sterile': 0.8, 'not sure': 0.067, 'female': 0.067, 'male': 0.067}",sterile
BS15578JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e6c5fe1c-28e9-43e0-8d4f-0e4af311d378.jpeg,"{'sterile': 0.533, 'male': 0.067, 'not sure': 0.2, 'female': 0.2}",sterile
BS15578JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e6cf87d1-b814-4099-928e-f6a03b214092.jpeg,"{'sterile': 0.867, 'not sure': 0.067, 'male': 0.067}",sterile
BS15578JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4b8dd646-0000-4c0c-8b65-cbb95f7ae851.jpeg,"{'sterile': 0.867, 'not sure': 0.067, 'female': 0.067}",sterile
BS15615_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/eecfb829-c8f3-4a3d-8f51-18952dcde2ad.jpeg,"{'not sure': 0.2, 'sterile': 0.6, 'male': 0.2}",sterile
BS15615_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b9d1292f-0484-481e-81fc-b11c7c74de18.jpeg,"{'female': 0.167, 'sterile': 0.222, 'male': 0.444, 'not sure': 0.111, 'both': 0.056}",male
BS15615_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/87383efb-daa9-46a9-abc1-9f1a508366c0.jpeg,"{'male': 0.133, 'sterile': 0.733, 'not sure': 0.133}",sterile
BS15615_cropped_resized(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4e5a524f-a8e7-4ab7-aba4-9407e2951304.jpeg,"{'male': 0.667, 'both': 0.333}",male
BS15615_cropped_resized(e).jpg,https://panoptes-uploads.zooniverse.org/subject_location/56ef7886-5e29-44a2-a00e-bd5b4b06886d.jpeg,"{'both': 0.632, 'female': 0.263, 'male': 0.053, 'not sure': 0.053}",both
BS15615JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/2e6cb3c0-87a8-46ed-a0df-8cf8d0da04e2.jpeg,"{'sterile': 0.467, 'both': 0.067, 'not sure': 0.267, 'male': 0.067, 'female': 0.133}",sterile
BS15615JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b669050b-c75c-443b-898f-81cf1fce76c0.jpeg,"{'male': 0.632, 'not sure': 0.158, 'sterile': 0.105, 'female': 0.105}",male
BS15615JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/d289471b-54a3-43ab-bece-39e594b2dd21.jpeg,"{'sterile': 0.8, 'male': 0.2}",sterile
BS15615JPEG_cropped_resized(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e4cac27c-5459-4aa9-b7a4-507b5a6cba76.jpeg,"{'male': 0.556, 'both': 0.444}",male
BS15615JPEG_cropped_resized(e).jpg,https://panoptes-uploads.zooniverse.org/subject_location/1c1fb639-bf64-4bf3-a36e-09bf36c4856e.jpeg,"{'female': 0.263, 'both': 0.684, 'not sure': 0.053}",both
BS15640JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/70901541-76ed-4b23-92ee-708fa3fc5021.jpeg,"{'sterile': 0.909, 'male': 0.091}",sterile
BS15640JPEG(a).png,https://panoptes-uploads.zooniverse.org/subject_location/2ac6ea90-1f3a-4df9-bcca-23231ca9467d.png,{'sterile': 1.0},sterile
BS15640JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/2ba52d3d-acf8-4e85-bb45-f9bf0989e4ec.jpeg,"{'not sure': 0.091, 'sterile': 0.909}",sterile
BS15640JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4d268da1-1056-4067-8fac-42102b4f8458.jpeg,"{'sterile': 0.917, 'male': 0.083}",sterile
BS15640JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/4db113bb-70c3-40ba-b577-b3295949d5d0.jpeg,{'sterile': 1.0},sterile
BS15650JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/eef4262c-1a37-491a-8a1f-eef58da587e3.jpeg,{'sterile': 1.0},sterile
BS15650JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/ddeaf056-7706-4ac3-b1e7-5638419a98cb.jpeg,"{'female': 0.167, 'sterile': 0.667, 'not sure': 0.167}",sterile
BS15650JPEG_cropped_resized(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/819cca48-710b-4415-bb7f-2c9393c3ffa7.jpeg,"{'sterile': 0.583, 'not sure': 0.333, 'male': 0.083}",sterile
BS15650JPEG_cropped_resized(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/6e3bb44d-13b7-4e51-8b43-784036ab097c.jpeg,{'sterile': 1.0},sterile
BS15680JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/9026e481-bd14-468b-af45-ac0ce96fd5c0.jpeg,"{'sterile': 0.864, 'female': 0.091, 'male': 0.045}",sterile
BS15680JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/a9e8ee22-7e60-44e4-a0c0-35cd90ed579d.jpeg,"{'sterile': 0.636, 'not sure': 0.273, 'female': 0.045, 'both': 0.045}",sterile
BS15680JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/b4493c70-15c9-4746-b9a8-fba66ab2a852.jpeg,"{'sterile': 0.833, 'not sure': 0.167}",sterile
BS15680JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/2021416b-b37a-4b9c-8d6d-d5b8df2e877e.jpeg,"{'sterile': 0.75, 'male': 0.083, 'female': 0.083, 'not sure': 0.083}",sterile
BS15691JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/93be5ac7-38c8-48cc-8f9f-edc95f7112c7.jpeg,"{'sterile': 0.909, 'not sure': 0.045, 'male': 0.045}",sterile
BS15691JPEG(a).png,https://panoptes-uploads.zooniverse.org/subject_location/cd88d475-a116-4ca0-bb8a-2beb47fc3c22.png,{'sterile': 1.0},sterile
BS15691JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/e5d124c3-bba2-4005-b526-7c8fc70885c2.jpeg,"{'sterile': 0.727, 'female': 0.045, 'male': 0.182, 'not sure': 0.045}",sterile
BS15691JPEG(b).png,https://panoptes-uploads.zooniverse.org/subject_location/ae1b7014-0740-43fa-b255-5b932caab75f.png,"{'sterile': 0.786, 'male': 0.071, 'female': 0.071, 'both': 0.036, 'not sure': 0.036}",sterile
BS15691JPEG_cropped_resized(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/a04cf6af-81b4-48bb-969b-df92ce01ca15.jpeg,"{'sterile': 0.917, 'not sure': 0.083}",sterile
BS15691JPEG_cropped_resized(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/f1b861fd-63e6-4ecb-bc66-d10523e0000a.jpeg,"{'sterile': 0.667, 'not sure': 0.167, 'female': 0.083, 'male': 0.083}",sterile
BS15727JPEG.jpg,https://panoptes-uploads.zooniverse.org/subject_location/55a9aff0-529c-4899-a23d-4f142c3d739d.jpeg,"{'sterile': 0.791, 'male': 0.07, 'not sure': 0.093, 'both': 0.023, 'female': 0.023}",sterile
BS15727JPEG_cropped_resized.jpg,https://panoptes-uploads.zooniverse.org/subject_location/746a9f3f-d739-4428-a8b0-ba7f4cb4048b.jpeg,"{'not sure': 0.333, 'sterile': 0.667}",sterile
Cameron12503_DF060_AK288360JPEG( copy.jpg,https://panoptes-uploads.zooniverse.org/subject_location/c3db0778-ad4c-4415-97e4-22b89e5ac2e0.jpeg,"{'sterile': 0.864, 'not sure': 0.136}",sterile
Engel_MVK24423_D307JPEG(a).jpg,https://panoptes-uploads.zooniverse.org/subject_location/ec53930d-4386-4816-9536-e91a910630d4.jpeg,"{'female': 0.955, 'both': 0.045}",female
Engel_MVK24423_D307JPEG(a).png,https://panoptes-uploads.zooniverse.org/subject_location/ed14fc72-70d4-470c-8c05-f2cd8d6138b5.png,"{'female': 0.875, 'both': 0.125}",female
Engel_MVK24423_D307JPEG(b).jpg,https://panoptes-uploads.zooniverse.org/subject_location/83cda605-b7e3-4d5d-bfc5-81044498d87c.jpeg,"{'female': 0.727, 'both': 0.045, 'not sure': 0.182, 'sterile': 0.045}",female
Engel_MVK24423_D307JPEG(b).png,https://panoptes-uploads.zooniverse.org/subject_location/7bdcec10-3eb9-4ce7-9c8a-6c7465655155.png,"{'female': 0.949, 'both': 0.026, 'not sure': 0.026}",female
Engel_MVK24423_D307JPEG(c).jpg,https://panoptes-uploads.zooniverse.org/subject_location/1b0b173a-70af-4d69-8756-b9f3e89a9aee.jpeg,"{'female': 0.818, 'male': 0.045, 'both': 0.091, 'not sure': 0.045}",female
Engel_MVK24423_D307JPEG(c).png,https://panoptes-uploads.zooniverse.org/subject_location/1f654f1f-947b-458e-a38c-d57a1ea7185a.png,"{'not sure': 0.08, 'both': 0.04, 'sterile': 0.88}",sterile
Engel_MVK24423_D307JPEG(d).jpg,https://panoptes-uploads.zooniverse.org/subject_location/bd61d8d3-de0d-49b3-bdf6-e225c7be6720.jpeg,"{'female': 0.955, 'both': 0.045}",female
Engel_MVK24423_D307JPEG(d).png,https://panoptes-uploads.zooniverse.org/subject_location/0ca7106e-278b-46f0-8ae5-d32110207b66.png,"{'both': 0.031, 'sterile': 0.094, 'female': 0.625, 'male': 0.094, 'not sure': 0.156}",female
Engel_MVK24423_D307JPEG(e).jpg,https://panoptes-uploads.zooniverse.org/subject_location/68a6e21d-3b54-452a-80b8-26a07a3903ad.jpeg,"{'female': 0.727, 'both': 0.045, 'not sure': 0.091, 'sterile': 0.091, 'male': 0.045}",female
Engel_MVK24423_D307JPEG(e).png,https://panoptes-uploads.zooniverse.org/subject_location/34f37b61-6bf3-492b-ac5e-a2d3fcfdb189.png,"{'female': 0.893, 'both': 0.107}",female
Engel_MVK24423_D307JPEG(f).jpg,https://panoptes-uploads.zooniverse.org/subject_location/afb34ade-0b49-4b5a-b158-5d96e83873f0.jpeg,"{'female': 0.818, 'both': 0.136, 'sterile': 0.045}",female
